seed,rms_roll,contact_loss,onset_time,synchrony,growth_ratio,rms_y
1001,0.14996680771589818,0.03995601173020528,-1.0,0.6319003846368425,0.9709079764197314,0.03705175051270719
1002,0.14155437646773894,0.03775659824046921,-1.0,0.6237138218181446,0.9487872109046809,0.03470025431548885
1003,0.15571571859215394,0.04215542521994135,-1.0,0.6258399527751848,0.5340502426747611,0.03962158457366718
1004,0.17330363604342572,0.06781524926686217,-1.0,0.8471858622893302,1.264421622954955,0.04126112524707166
1005,0.1269149580620655,0.005865102639296188,-1.0,0.44927814144710687,2.4860568985395246,0.02874296237115789
1006,0.1532963970872308,0.05461876832844575,-1.0,0.7457460985292903,0.6062587644046792,0.03712915462023205
1007,0.14966034158400213,0.03702346041055719,-1.0,0.6131887725136509,0.9685497632535407,0.036933413839176685
1008,0.14411769110054964,0.03739002932551319,-1.0,0.6312671212847702,0.9976623151628465,0.03474873731522067
1009,0.056762219764887496,0.0,-1.0,0.2231894732059435,1.2853083944895096,0.011733222225385212
1010,0.15848093689172826,0.040322580645161296,-1.0,0.6472851602069022,1.0584780359416255,0.0392855100998547
1011,0.15701283184473608,0.03812316715542522,-1.0,0.6217760004546392,0.8824153053310198,0.03935948129914101
1012,0.14685125084280354,0.04215542521994135,-1.0,0.6448982859976071,0.9840044617193259,0.03569004396127163
1013,0.14632958575881375,0.039589442815249266,-1.0,0.6219476713777877,0.9391310716229264,0.0362000306108454
1014,0.15004865361274963,0.038856304985337244,-1.0,0.6353245834863471,1.3217695979060806,0.036960357135963975
1015,0.1582222288187064,0.04105571847507332,-1.0,0.6655925113613128,0.9983559760428847,0.03867946756807684
1016,0.1490702571314732,0.035557184750733134,-1.0,0.6211677003089203,0.9558040911217653,0.03616417369369723
1017,0.14833278441548145,0.03848973607038123,-1.0,0.6275100638272996,1.1020166672753722,0.03653629706030693
1018,0.16810741362512305,0.0689149560117302,-1.0,0.8594386882337995,1.2012527818086187,0.039475197594406534
1019,0.16715076460323935,0.05535190615835777,-1.0,0.7205201972577723,0.6372137822619589,0.041905018142409725
1020,0.15180931778734177,0.04032258064516129,-1.0,0.6437787133867371,0.9923992096445371,0.03707905509709757
1021,0.15399670533411458,0.03409090909090909,-1.0,0.624314459050822,1.0032633818346834,0.03762315825294428
1022,0.14097475840990903,0.03702346041055719,-1.0,0.6122431600075647,1.0044723543863385,0.03453091539990173
1023,0.14297997555709913,0.03922287390029326,-1.0,0.6454510212032682,0.9565179431750667,0.03478936725542355
1024,0.14662076902559476,0.03812316715542522,-1.0,0.6541659668706226,1.0198409938452238,0.03529381047714295
1025,0.16036325083352676,0.04398826979472141,-1.0,0.6598056706874772,1.0937761799786043,0.04025450760975713
1026,0.15020441924091066,0.03775659824046921,-1.0,0.6379261637613424,0.8766966429456265,0.036934828659766925
1027,0.152437601409724,0.04142228739002932,-1.0,0.6384595638559305,1.0006059127669733,0.037463006616787725
1028,0.14228790868093807,0.026392961876832842,-1.0,0.5698253065887448,0.8968007528582453,0.0342353238535662
1029,0.1485729810388531,0.038489736070381225,-1.0,0.6277538847915058,0.997217215407322,0.03657390550706929
1030,0.1545424186457489,0.0373900293255132,-1.0,0.6238165423628627,0.9700368995581375,0.03772965864890979
